created_at	text	user__location	entities__hashtags__text		entities__hashtags__text			
Mon Nov 02 22:59:21 +0000 2015	????@Twdfan45 ????@Me_Gofficial @BBYCKS_1 @Reanimator909 @Trans1110 @Abrazos4u @2020sahara @DopestTrax @Mak844 @Jerz_Gal @Neek_Official ????	TFR # #TFBJP #MGWV #MONDOJUJU						
								
								
								
								
								
								
								
								
								
								
Mon Nov 02 22:59:21 +0000 2015	?????????? go watch @ConnorFranta's  new video https://t.co/RXWC3oU3LB give it a big thumbs up and subscribe  Dm me & @emojifranta  ??????????x76	4/6 + troye						
								
								
								
Mon Nov 02 22:59:21 +0000 2015	We love it when our clients listen to our advice and improve their property! The owners is adding… https://t.co/Oa346rwum0	"Echo Park, Los Angeles"						
								
								
								
Mon Nov 02 22:59:21 +0000 2015	Don't you love it when you have a midterm on 8 chapters without a study guide	null						
								
								
								
Mon Nov 02 22:59:22 +0000 2015	"And the celebration continues!!! (at @ToysRUs in Woodland Hills, CA) https://t.co/rvtiVV0KdD https://t.co/UkyGeeLVWT"	So Cal						
								
								
								
Mon Nov 02 22:59:23 +0000 2015	Wait did you just say that?	California						
								
								
								
Mon Nov 02 22:59:23 +0000 2015	New music from the kid https://t.co/DyUJHvQ9V6	null						
								
								
								
								
								
Mon Nov 02 22:59:24 +0000 2015	"""THE TEAM""  #ShavetheCityLA  ?? Cc: bryleon   #CHBarbers #StayFresh #barbershopconnect #chbarberlife… https://t.co/uqBGl2ZmeZ"	"13 Westfield Ave Clark, NJ"	ShavetheCityLA					
			CHBarbers					
			StayFresh					
			barbershopconnect					
			chbarberlife					
Mon Nov 02 22:59:24 +0000 2015	"??Pollo inka, mini cheeseburgers, spaghetti, corn dogs, popusas, enchilladas, tortas, pizza, tamales ??????"	null						
								
								
								
Mon Nov 02 22:59:25 +0000 2015	"Providence Health & Services #Nursing : Registered Nurse - Sub Acute Care Center ( Full Time -... (#SanPedro, CA) https://t.co/aG8eopdUQT"	California	Nursing					
			SanPedro					
								
								
Mon Nov 02 22:59:26 +0000 2015	Just posted a photo @ LACMA Los Angeles County Museum of Art https://t.co/TPUEp1lck8	CALIFORNIA						
								
								
								
Mon Nov 02 22:59:27 +0000 2015	SPIES EVERYWHERE ??	"Sunland, Los Angeles"						
								
								
								
Mon Nov 02 22:59:28 +0000 2015	lmao who r u ?	LA						
								
								
								
Mon Nov 02 22:59:28 +0000 2015	@3FeetintheAir lol yup! what did you guys do on Saturday??	disneyland						
								
								
								
Mon Nov 02 22:59:30 +0000 2015	good god basketball -.- https://t.co/JnqxamvAz2	null						
								
								
								
								
								
								
								
Mon Nov 02 22:59:30 +0000 2015	THIS SATURDAY NIGHT! NOV 7th! MIDNIGHT SHOW CHOREOGRAPHED BY AUSTIN WESTBAY! AKBAR https://t.co/RaZSS7cRML	"Los Angeles, CA"						
								
								
								
Mon Nov 02 22:59:31 +0000 2015	"When I moved to california I was expecting no rain, this is what I get ?? https://t.co/yHmbYxiYQA"	null						
								
								
								
Mon Nov 02 22:59:32 +0000 2015	Shooting more interviews for the @petersen_museum documentary today. #setlife #makingTV… https://t.co/jQbtt6yY3L	"Sherman Oaks, United States"	setlife					
			makingTV					
								
								
Mon Nov 02 22:59:32 +0000 2015	@poolsharkkk that was me last night lol... Now I'm dry af like my ....nvm	null						
								
								
								
Mon Nov 02 22:59:33 +0000 2015	Drinking a Wet Hop Dreams 3 by @MotherEarthBrCo @ The Belmont — https://t.co/G0kBH5brPJ #photo	Florida	photo					
								
								
								
Mon Nov 02 22:59:33 +0000 2015	Josh Wawa	San Bernardino to Los Angeles						
								
								
								
Mon Nov 02 22:59:35 +0000 2015	If only people recorded me around birds  https://t.co/WvOA1k0v3R	probably at disneyland						
								
								
								
								
								
Mon Nov 02 22:59:35 +0000 2015	"Squeaky clean teeth! (@ Joseph Bellissimo DDs in Los Angeles, CA) https://t.co/Z4n9sIuxWh"	"La Crescenta, California"						
								
								
								
Mon Nov 02 22:59:35 +0000 2015	@NFL  You need to step up your safety game. It's tough enough without your perimeter being made of concrete so dudes are slippin gettin hurt	L.A./N.Y./DET						
								
								
								
Mon Nov 02 22:59:35 +0000 2015	@thejeffreymarsh hi sweetie! Thanks for the follow!!	"Valley Girl in LA LA Land, CA"						
								
								
								
Mon Nov 02 22:59:35 +0000 2015	new music dropping tomorrow	Los Angeles						
								
								
								
Mon Nov 02 22:59:35 +0000 2015	"@RHaylock Yes sir... Khalil Tate Serra QB 8-Game Stats (not 9) 2,992 Total Yards 1,578 Pass / 1,414 Rush 33 TDs ...and most fun to watch ??"	Southern California						
								
								
								
Mon Nov 02 22:59:36 +0000 2015	??? ???????? ????	"Los Angeles, CA | Santa Monica"						
								
								
								
Mon Nov 02 22:59:37 +0000 2015	So far November has been amazing except for today bc i was bleeding outta my eye but overall still great!	"South Gate, CA"						
								
								
								
Mon Nov 02 22:59:38 +0000 2015	damn nigga chill	null						
								
								
								
Mon Nov 02 22:59:40 +0000 2015	RT @SexCamLiveChat World's #1 Sex Cam Website https://t.co/WquirNuf4t #LiveJasmin #SexChat #SexCams #LiveSex	"Illinois, USA"	LiveJasmin					
			SexChat					
			SexCams					
			LiveSex					
Mon Nov 02 22:59:40 +0000 2015	@ryaaanb_ free samples	null						
								
								
								
Mon Nov 02 22:59:42 +0000 2015	?? This right here sums up the best #campingtrip of the season. Not only we discover the beauty of… https://t.co/bkTm0PgT8x	"California, USA"	campingtrip					
								
								
								
Mon Nov 02 22:59:42 +0000 2015	"Yay we lost Vernon, I think it's safe to say we officially have the worst squad ever. @49ers front office is garbage"	los angeles						
								
								
								
Mon Nov 02 22:59:42 +0000 2015	Word to Bernie Sanders? https://t.co/TmtVQa5V9n	"Los Angeles, CA"						
								
								
								
Mon Nov 02 22:59:43 +0000 2015	@JohnBorrego20 & pechanga	Temecula | Los Angeles						
								
								
								
Mon Nov 02 22:59:43 +0000 2015	MLM company in #NewportBeach CA 7 boasts Pillars of Well Being inspires it. Third Pillar is #Happiness. But family cry alone every night.	null	NewportBeach					
			Happiness					
								
								
Mon Nov 02 22:59:44 +0000 2015	And check out @diamondwhite's hot new single #BornRich at https://t.co/zHDa3xkX23 ??	"Los Angeles, CA"	BornRich					
								
								
								
Mon Nov 02 22:59:44 +0000 2015	San Diego Gulls Female Fan Dedication Amazing nail work from @toesonthegoes  #sandiegosportsbar… https://t.co/WAV87gXsTb	"Spring Valley, CA"	sandiegosportsbar					
								
								
								
Mon Nov 02 22:59:45 +0000 2015	?????????? go watch @ConnorFranta's  new video https://t.co/RXWC3oU3LB give it a big thumbs up and subscribe  Dm me & @emojifranta  ??????????x80	4/6 + troye						
								
								
								
Mon Nov 02 22:59:46 +0000 2015	Did Kobe score 81 on Jalen Rose ?  https://t.co/KE8wkucA7M	Hooper #15						
								
								
								
Mon Nov 02 22:59:46 +0000 2015	"@fig4all oh you hit nail on head. Yes, exhausted."	"Los Angeles, CA"						
								
								
								
Mon Nov 02 22:59:47 +0000 2015	@haykd_9 this is so you lol	Los Angeles						
								
								
								
Mon Nov 02 22:59:47 +0000 2015	i'm dying ?????? https://t.co/n7gdbu67TB	"lakewood , california "						
								
								
								
								
								
Mon Nov 02 22:59:49 +0000 2015	@tweetforcetacea When does the slaughter end in the Faroes Islands?	Caifornia USA						
								
								
								
Mon Nov 02 22:59:49 +0000 2015	Ooooo I like https://t.co/lvY2DMXYO8	null						
								
								
								
								
								
								
								
Mon Nov 02 22:59:50 +0000 2015	?????????? go watch @ConnorFranta's  new video https://t.co/RXWC3oU3LB give it a big thumbs up and subscribe  Dm me & @emojifranta  ??????????x81	4/6 + troye						
								
								
								
Mon Nov 02 22:59:51 +0000 2015	Cloudy LA days are my favorite.	null						
								
								
								
Mon Nov 02 22:59:52 +0000 2015	Justine using the 100 emoji? Oh my god when did you turn hood? https://t.co/K3rK4ZA1Vx	UCLA 						
								
								
								
Mon Nov 02 22:59:54 +0000 2015	I just wanna stay home and nap but I got fucking work	null						
								
								
								
Mon Nov 02 22:59:55 +0000 2015	@daphnie_ordonez I actually have lowered cards	null						
								
								
								
Mon Nov 02 22:59:55 +0000 2015	Fuck school I want my MRS degree	null						
								
								
								
Mon Nov 02 22:59:56 +0000 2015	Oh I use puma specifically for fencers cost on top my coach would put padding inside to support the feet #gentschat  https://t.co/F3dtWux2o0	London & Los Angeles	gentschat					
								
								
								
Mon Nov 02 22:59:57 +0000 2015	YOU AND THEM BIG TITTYS BETTER SAG A SEAT	null						
								
								
								
Mon Nov 02 22:59:57 +0000 2015	"A cheese burger, animal fries, and a vanilla milkshake"	null						
								
								
								
Mon Nov 02 22:59:58 +0000 2015	happy birthday @YoungTimayy stay classy?? https://t.co/v5CAeJoldB	null						
								
								
								
Mon Nov 02 22:59:59 +0000 2015	@_dime__ wonder when my gift will arrive	"Los Angeles, CA"						
								
								
								
Mon Nov 02 23:00:00 +0000 2015	I need music to motivate me	la						
								
								
								
Mon Nov 02 23:00:01 +0000 2015	I see the Hollywood sign.	"Long Beach, CA"						
								
								
								
Mon Nov 02 23:00:01 +0000 2015	Found all my old writings. I'm thinking about trying to write again ?? https://t.co/WMQFYbxUFU	Southern California						
								
								
								
Mon Nov 02 23:00:02 +0000 2015	@Rezxxx_ hahhaaha ??	"California, USA "						
								
								
								
Mon Nov 02 23:00:05 +0000 2015	@MikeyPerches we have to know	null						
								
								
								
